,cha,con,dex,int,result,str,wis
0,12.0,8.0,11.0,11.0,succeed,17.0,16.0
1,14.0,13.0,19.0,17.0,succeed,15.0,12.0
2,12.0,20.0,14.0,7.0,fail,12.0,12.0
3,11.0,14.0,7.0,9.0,succeed,8.0,19.0
4,14.0,16.0,8.0,15.0,succeed,5.0,17.0
5,12.0,18.0,16.0,12.0,succeed,19.0,18.0
6,9.0,12.0,20.0,12.0,succeed,16.0,16.0
7,4.0,11.0,13.0,8.0,fail,10.0,16.0
8,14.0,14.0,10.0,2.0,succeed,8.0,12.0
9,19.0,12.0,12.0,9.0,fail,3.0,11.0
10,12.0,14.0,12.0,3.0,fail,14.0,7.0
11,12.0,11.0,13.0,6.0,fail,13.0,5.0
12,14.0,17.0,9.0,18.0,succeed,11.0,12.0
13,11.0,15.0,11.0,10.0,succeed,9.0,7.0
14,5.0,13.0,11.0,8.0,succeed,16.0,17.0
15,8.0,13.0,4.0,16.0,succeed,13.0,20.0
16,10.0,15.0,17.0,9.0,succeed,16.0,3.0
17,13.0,11.0,3.0,10.0,succeed,16.0,8.0
18,19.0,12.0,12.0,11.0,succeed,9.0,17.0
19,17.0,13.0,5.0,15.0,succeed,13.0,9.0
20,10.0,14.0,14.0,10.0,succeed,12.0,10.0
21,17.0,10.0,5.0,14.0,succeed,19.0,10.0
22,18.0,13.0,17.0,13.0,succeed,16.0,12.0
23,8.0,10.0,17.0,8.0,fail,13.0,4.0
24,12.0,15.0,12.0,5.0,succeed,14.0,7.0
25,13.0,8.0,8.0,16.0,succeed,14.0,12.0
26,18.0,15.0,12.0,16.0,succeed,9.0,15.0
27,2.0,13.0,13.0,15.0,fail,10.0,20.0
28,12.0,10.0,17.0,6.0,fail,9.0,11.0
29,12.0,9.0,9.0,11.0,succeed,15.0,18.0
30,9.0,8.0,20.0,12.0,fail,14.0,8.0
31,18.0,7.0,8.0,9.0,succeed,13.0,15.0
32,8.0,4.0,15.0,13.0,succeed,14.0,15.0
33,8.0,16.0,9.0,9.0,succeed,11.0,12.0
34,12.0,13.0,11.0,16.0,succeed,9.0,7.0
35,17.0,15.0,2.0,16.0,succeed,16.0,11.0
36,5.0,12.0,13.0,16.0,succeed,15.0,5.0
37,16.0,16.0,20.0,13.0,succeed,12.0,6.0
38,14.0,9.0,15.0,15.0,fail,3.0,6.0
39,11.0,12.0,12.0,6.0,fail,12.0,9.0
40,15.0,3.0,9.0,6.0,fail,15.0,13.0
41,9.0,14.0,11.0,12.0,succeed,15.0,15.0
42,10.0,9.0,10.0,11.0,fail,12.0,10.0
43,16.0,14.0,7.0,14.0,fail,3.0,10.0
44,11.0,10.0,17.0,10.0,succeed,17.0,6.0
45,12.0,15.0,9.0,15.0,succeed,14.0,17.0
46,15.0,18.0,9.0,10.0,fail,2.0,8.0
47,18.0,9.0,6.0,9.0,succeed,12.0,9.0
48,3.0,11.0,9.0,15.0,fail,12.0,10.0
49,15.0,4.0,11.0,3.0,fail,18.0,16.0
50,8.0,13.0,8.0,16.0,succeed,7.0,18.0
51,9.0,13.0,10.0,8.0,succeed,10.0,14.0
52,9.0,10.0,20.0,14.0,succeed,10.0,16.0
53,10.0,19.0,12.0,16.0,succeed,11.0,11.0
54,12.0,11.0,3.0,15.0,succeed,15.0,19.0
55,9.0,11.0,12.0,4.0,fail,10.0,14.0
56,16.0,8.0,18.0,16.0,fail,11.0,10.0
57,14.0,9.0,16.0,11.0,succeed,17.0,16.0
58,13.0,17.0,14.0,12.0,fail,7.0,13.0
59,18.0,13.0,15.0,12.0,fail,6.0,17.0
60,4.0,15.0,2.0,12.0,succeed,12.0,15.0
