,cha,con,dex,int,str,wis,result
0,12,8,11,11,17,16,succeed
1,14,13,19,17,15,12,succeed
2,12,20,14,7,12,12,fail
3,11,14,7,9,8,19,succeed
4,14,16,8,15,5,17,succeed
5,12,18,16,12,19,18,succeed
6,9,12,20,12,16,16,succeed
7,4,11,13,8,10,16,fail
8,14,14,10,2,8,12,succeed
9,19,12,12,9,3,11,fail
10,12,14,12,3,14,7,fail
11,12,11,13,6,13,5,fail
12,14,17,9,18,11,12,succeed
13,11,15,11,10,9,7,succeed
14,5,13,11,8,16,17,succeed
15,8,13,4,16,13,20,succeed
16,10,15,17,9,16,3,succeed
17,13,11,3,10,16,8,succeed
18,19,12,12,11,9,17,succeed
19,17,13,5,15,13,9,succeed
20,10,14,14,10,12,10,succeed
21,17,10,5,14,19,10,succeed
22,18,13,17,13,16,12,succeed
23,8,10,17,8,13,4,fail
24,12,15,12,5,14,7,succeed
25,13,8,8,16,14,12,succeed
26,18,15,12,16,9,15,succeed
27,2,13,13,15,10,20,fail
28,12,10,17,6,9,11,fail
29,12,9,9,11,15,18,succeed
30,9,8,20,12,14,8,fail
31,18,7,8,9,13,15,succeed
32,8,4,15,13,14,15,succeed
33,8,16,9,9,11,12,succeed
34,12,13,11,16,9,7,succeed
35,17,15,2,16,16,11,succeed
36,5,12,13,16,15,5,succeed
37,16,16,20,13,12,6,succeed
38,14,9,15,15,3,6,fail
39,11,12,12,6,12,9,fail
40,15,3,9,6,15,13,fail
41,9,14,11,12,15,15,succeed
42,10,9,10,11,12,10,fail
43,16,14,7,14,3,10,fail
44,11,10,17,10,17,6,succeed
45,12,15,9,15,14,17,succeed
46,15,18,9,10,2,8,fail
47,18,9,6,9,12,9,succeed
48,3,11,9,15,12,10,fail
49,15,4,11,3,18,16,fail
50,8,13,8,16,7,18,succeed
51,9,13,10,8,10,14,succeed
52,9,10,20,14,10,16,succeed
53,10,19,12,16,11,11,succeed
54,12,11,3,15,15,19,succeed
55,9,11,12,4,10,14,fail
56,16,8,18,16,11,10,fail
57,14,9,16,11,17,16,succeed
58,13,17,14,12,7,13,fail
59,18,13,15,12,6,17,fail
60,4,15,2,12,12,15,succeed
61,19,4,7,14,5,20,fail
62,10,14,17,7,10,12,succeed
63,16,13,12,7,11,8,fail
64,6,12,8,12,10,12,fail
65,15,6,9,19,13,6,succeed
66,13,5,18,14,10,10,succeed
67,8,17,12,13,2,15,succeed
68,4,15,16,5,16,6,fail
69,5,8,11,19,14,10,succeed
70,5,9,15,15,9,7,succeed
71,10,6,17,8,12,11,fail
72,12,19,5,4,15,12,fail
73,13,9,6,18,11,9,succeed
74,11,13,16,15,11,10,fail
75,6,13,16,19,15,14,fail
76,12,11,20,19,10,14,succeed
77,14,16,3,16,20,14,succeed
78,9,9,11,18,17,7,succeed
79,10,13,16,19,9,11,succeed
80,3,10,13,13,15,16,fail
81,8,11,18,10,4,14,fail
82,4,15,5,13,17,8,fail
83,12,7,7,13,10,13,fail
84,12,10,11,14,8,9,succeed
85,7,14,8,12,18,7,succeed
86,13,20,13,9,10,8,succeed
87,4,20,7,6,12,12,succeed
88,9,13,13,15,3,9,fail
89,11,13,11,14,16,11,succeed
90,11,8,12,10,10,9,fail
91,11,12,8,9,10,13,succeed
92,16,8,10,16,8,4,succeed
93,13,3,18,12,17,6,fail
94,12,16,14,14,19,12,succeed
95,15,8,13,3,15,7,fail
96,19,17,12,11,10,8,succeed
97,16,16,7,14,10,11,fail
98,8,12,15,11,9,9,fail
99,13,11,6,12,10,11,fail
100,6,18,11,7,12,8,fail
101,6,10,8,13,11,14,fail
102,11,7,15,14,13,10,fail
103,7,14,15,14,17,19,succeed
104,13,10,9,18,19,8,succeed
105,11,16,9,6,10,20,succeed
106,12,8,16,11,8,16,succeed
107,11,9,14,7,17,14,succeed
108,7,9,13,19,6,11,fail
109,12,8,13,16,15,16,succeed
110,12,8,9,11,18,6,succeed
111,10,6,13,13,15,3,fail
112,17,13,7,6,14,10,succeed
113,13,14,11,13,12,17,succeed
114,14,15,16,14,9,9,succeed
115,11,12,13,8,12,19,succeed
116,15,9,10,9,13,10,succeed
117,12,4,14,19,12,11,fail
118,20,16,9,15,8,6,fail
119,10,17,13,4,10,11,fail
120,10,18,16,17,7,13,succeed
121,5,19,13,16,6,6,fail
122,19,10,13,11,7,18,succeed
123,6,13,15,6,12,8,fail
124,17,11,13,15,12,12,succeed
125,20,12,8,8,5,10,fail
126,14,17,3,12,16,7,fail
127,7,18,16,16,15,15,succeed
128,15,7,13,19,10,7,succeed
129,12,14,14,12,6,14,fail
130,17,13,9,13,7,11,succeed
131,14,13,13,10,18,18,succeed
132,7,15,12,7,11,17,fail
133,16,6,19,11,7,13,fail
134,12,11,11,16,10,17,succeed
135,7,15,9,16,12,9,succeed
136,15,11,17,14,14,14,succeed
137,10,13,9,16,4,8,succeed
138,4,17,11,8,11,16,succeed
139,7,15,10,14,12,5,fail
140,8,9,15,12,4,13,fail
141,8,13,5,13,16,14,succeed
142,16,6,12,19,8,8,succeed
143,13,5,10,8,14,14,fail
144,17,13,14,8,9,9,succeed
145,4,10,16,8,9,14,fail
146,11,7,17,18,11,15,fail
147,14,12,10,9,13,11,succeed
148,9,17,12,11,5,15,fail
149,6,11,16,16,13,15,succeed
150,16,6,12,7,13,10,succeed
151,12,11,15,12,10,5,fail
152,17,9,15,9,12,14,succeed
153,14,6,11,6,17,16,fail
154,17,17,11,7,3,10,fail
155,15,7,17,15,6,4,succeed
156,17,9,16,13,13,9,succeed
157,13,11,16,13,11,14,succeed
158,15,18,20,12,12,9,fail
159,9,11,8,20,6,10,succeed
160,13,6,16,13,13,12,fail
161,11,9,9,15,16,10,succeed
162,7,8,13,7,15,12,fail
163,13,10,13,9,19,13,succeed
164,13,18,9,11,12,10,succeed
165,18,10,16,16,4,5,succeed
166,18,11,11,17,15,8,succeed
167,16,17,13,4,20,12,succeed
168,12,4,11,8,16,17,fail
169,13,11,11,9,14,9,fail
170,18,17,15,10,16,10,succeed
171,10,15,17,11,6,11,fail
172,11,8,16,16,6,18,succeed
173,14,9,14,10,9,16,succeed
174,16,10,14,18,12,10,succeed
175,8,12,12,8,17,12,fail
176,9,14,7,5,18,7,fail
177,9,12,18,9,6,11,fail
178,12,11,5,9,17,9,fail
179,13,7,11,16,8,16,succeed
180,9,11,10,14,12,17,succeed
181,9,18,6,11,7,15,succeed
182,15,5,13,12,10,13,succeed
183,7,16,12,11,13,9,fail
184,11,7,11,15,10,15,fail
185,9,11,13,5,13,14,fail
186,13,9,17,6,13,13,succeed
187,9,14,11,12,7,10,fail
188,12,13,18,15,8,12,succeed
189,12,11,16,7,12,10,succeed
190,11,9,8,11,12,12,fail
191,12,9,14,5,11,18,fail
192,5,10,12,16,10,11,fail
193,16,18,12,17,16,6,succeed
194,12,11,13,12,11,15,succeed
195,18,11,13,17,19,7,fail
196,7,10,10,20,12,9,fail
197,10,11,16,14,7,17,succeed
198,16,12,13,5,12,11,fail
199,18,8,13,11,14,18,fail
200,18,12,11,16,6,11,succeed
201,16,5,14,16,16,14,succeed
202,10,19,6,17,6,15,succeed
203,11,9,13,11,14,13,fail
204,11,12,13,7,15,3,succeed
205,5,6,11,17,12,19,succeed
206,16,9,11,17,16,9,succeed
207,15,5,8,17,11,14,succeed
208,11,7,13,6,14,12,succeed
209,8,11,11,11,7,17,succeed
210,10,19,13,7,8,13,succeed
211,10,13,9,13,15,3,fail
212,12,3,7,20,7,20,succeed
213,17,9,10,8,13,10,succeed
214,3,19,9,13,8,11,fail
215,12,13,17,2,12,13,fail
216,14,12,18,9,9,13,fail
217,11,9,15,8,9,12,succeed
218,11,10,12,15,12,14,succeed
219,16,16,13,10,16,5,succeed
220,10,12,15,8,3,14,fail
221,13,13,13,16,11,10,succeed
222,8,20,11,11,15,17,succeed
223,13,14,12,11,18,9,succeed
224,13,12,14,10,15,9,fail
225,7,10,5,11,13,15,succeed
226,18,8,10,8,9,18,succeed
227,10,13,12,12,13,14,succeed
228,11,11,11,7,13,18,succeed
229,11,11,7,17,14,10,succeed
230,7,12,14,18,17,12,succeed
231,13,4,16,12,11,14,fail
232,9,12,14,17,5,16,succeed
233,8,11,16,7,6,13,fail
234,19,7,16,13,4,12,fail
235,10,19,10,6,12,11,succeed
236,12,5,11,15,11,9,succeed
237,4,13,17,16,10,5,fail
238,19,18,13,14,12,14,succeed
239,8,13,12,14,10,12,fail
240,11,15,11,12,17,5,succeed
241,12,11,11,15,10,15,succeed
242,15,5,5,19,11,13,fail
243,10,9,12,17,10,8,fail
244,10,11,10,13,5,14,fail
245,12,13,12,18,7,16,succeed
246,8,14,9,13,14,11,fail
247,7,19,6,14,7,9,fail
248,17,6,12,9,7,9,succeed
249,8,14,15,16,8,9,succeed
250,19,14,8,11,4,8,fail
251,10,11,16,10,12,13,fail
252,13,15,9,14,11,14,succeed
253,5,19,13,12,12,11,fail
254,17,13,11,16,9,12,succeed
255,9,13,9,17,9,7,succeed
256,10,9,9,19,10,8,succeed
257,15,16,12,14,14,7,succeed
258,16,19,19,7,11,5,succeed
259,19,4,18,9,10,7,succeed
260,10,17,15,8,15,9,succeed
261,6,17,14,6,8,11,succeed
262,12,7,12,13,19,9,succeed
263,14,13,8,16,19,9,succeed
264,11,14,14,4,16,4,succeed
265,13,8,17,7,11,16,succeed
266,13,8,9,16,11,8,succeed
267,12,16,10,7,6,14,succeed
268,15,13,10,9,17,5,fail
269,8,7,16,5,15,10,succeed
270,11,14,13,4,17,17,succeed
271,12,5,18,17,8,8,fail
272,19,9,16,16,16,10,succeed
273,4,10,20,9,12,8,fail
274,12,9,4,11,16,15,succeed
275,16,9,9,16,16,19,succeed
276,17,15,17,14,13,12,succeed
277,12,8,10,15,12,5,succeed
278,7,15,7,15,12,6,fail
279,8,7,11,12,15,13,succeed
280,14,13,11,11,11,8,succeed
281,3,16,17,11,13,8,fail
282,8,16,7,7,12,13,fail
283,9,11,8,9,17,10,succeed
284,9,11,12,16,18,18,succeed
285,20,14,15,6,15,11,succeed
286,13,18,7,13,15,13,succeed
287,14,14,2,16,8,17,succeed
288,13,5,6,10,12,17,succeed
289,8,12,13,17,11,12,fail
290,13,14,6,14,16,7,succeed
291,5,6,18,12,15,6,succeed
292,12,10,9,9,14,15,succeed
293,11,13,15,8,13,12,succeed
294,10,10,13,13,17,18,fail
295,10,14,10,10,13,7,succeed
296,5,11,14,13,14,8,fail
297,14,9,14,7,14,18,succeed
298,13,10,12,11,13,10,fail
299,7,13,13,14,13,12,succeed
300,7,10,13,12,11,19,fail
301,3,13,17,13,9,8,fail
302,17,15,15,16,17,7,succeed
303,9,9,12,16,19,15,succeed
304,11,16,15,11,12,11,succeed
305,8,15,11,16,8,11,fail
306,17,6,13,12,12,4,succeed
307,10,14,9,8,10,11,succeed
308,16,15,14,11,10,16,succeed
309,12,17,17,18,7,11,fail
310,10,17,9,14,9,14,succeed
311,18,17,15,15,13,20,succeed
312,14,18,17,8,6,12,succeed
313,13,10,18,10,16,13,succeed
314,11,10,14,18,3,12,succeed
315,12,12,10,11,15,6,succeed
